,Close
0,39.75
1,41.799999
2,42.990002
3,42.75
4,45.48
5,48.32
6,47.650002
7,51.169998
8,55.700001
9,52.049999
10,52.619999
11,58.119999
12,60.75
13,60.119999
14,60.799999
15,59.669998
16,57.639999
17,58.32
18,59.07
19,57.75
20,57.790001
21,58.299999
22,59.189999
23,58.09
24,60.619999
25,67.059998
26,67.089996
27,68.459999
28,68.900002
29,68.389999
30,69.980003
31,70.389999
32,67.160004
33,66.489998
34,64.639999
35,67.43
36,67.830002
37,67.190002
38,69.099998
39,74.540001
40,74.730003
41,70.290001
42,72.5
43,72.169998
44,70.339996
45,69.129997
46,69.139999
47,70.839996
48,65.339996
49,67.779999
50,64.919998
51,70.739998
52,71.860001
53,74.779999
54,72.599998
55,72.489998
56,72.010002
57,72.800003
58,71.300003
59,73.400002
60,73.019997
61,71.650002
62,70.849998
63,73.629997
64,77.5
65,80.849998
66,75.110001
67,73.470001
68,69.919998
69,68.419998
70,72.160004
71,71.440002
72,67.559998
73,61.23
74,58.459999
75,54.09
76,59.490002
77,58.150002
78,64.540001
79,69.120003
80,72.25
81,70.599998
82,68.720001
83,63.650002
84,63.23
85,65.629997
86,64
87,60.080002
88,60.540001
89,60.349998
90,58.830002
91,59.68
92,62.810001
93,64.400002
94,64.589996
95,67.970001
96,68.43
97,72.260002
98,72.309998
99,72.040001
100,73.440002
101,71.269997
102,71.010002
103,66.889999
104,64.489998
105,64.080002
106,68.110001
107,66.849998
108,69.620003
109,71.050003
110,69.760002
111,71.5
112,69.800003
113,69.809998
114,67.809998
115,65.139999
116,64.419998
117,61.369999
118,62.630001
119,58.860001
120,59.869999
121,57.709999
123,55.700001
124,58.639999
125,58.16
126,58.77
127,57.439999
128,66.449997
129,70.370003
130,72.760002
131,72.760002
132,73.190002
133,72.830002
134,71.989998
135,69.480003
136,70.43
137,69.269997
138,71.849998
139,72.209999
140,73.730003
141,70.760002
142,71.099998
143,72.150002
144,75.949997
145,73.400002
146,72.580002
147,77.5
148,79.949997
149,82.419998
150,82
151,82.629997
152,84.610001
153,84.190002
154,86.169998
155,85.330002
156,83.610001
157,84.160004
158,86.690002
159,85.230003
160,83.110001
161,81.879997
162,85.139999
163,84.220001
164,82.419998
165,81.239998
166,79.050003
167,78.290001
168,77.620003
169,81.830002
170,82.739998
171,83.839996
172,85.970001
173,87.93
174,87.68
175,89.529999
176,88.370003
177,85.529999
178,87
179,87.410004
180,89.169998
181,95.760002
182,97.18
183,92.68
184,93.220001
185,95.75
186,95.18
187,94.93
188,94.720001
189,91.010002
190,93.010002
191,90.129997
192,93.449997
193,96.510002
194,98.080002
195,100.309998
196,98.760002
197,104.580002
198,108.050003
199,111.18
200,115.099998
201,118.610001
202,119.970001
203,118.949997
204,116.339996
205,124.029999
206,124.019997
207,118.610001
208,119.239998
209,122.669998
210,123.660004
211,124.370003
212,121.260002
213,122.529999
214,124.410004
215,123.809998
216,121.169998
217,118.360001
218,112.5
219,98.769997
220,96.43
221,98.18
222,90.470001
223,91.910004
224,88.089996
225,92.589996
226,86.709999
227,86.699997
228,88.940002
229,92.510002
230,97.690002
231,98.739998
232,95.309998
233,97.169998
234,96.160004
235,99.940002
236,95.860001
237,97.360001
238,95.129997
239,91.870003
240,98.110001
241,97.690002
242,101.209999
243,97.480003
244,98.970001
245,71.360001
246,73.050003
247,72.410004
248,71.239998
249,67.900002
250,66.760002